100
1	0	1665	3350	1713	4615	4632	1932	2747	4712	2655	3430	2394	3994	210	1375	2142	806	755	3444	3402	1957	3838	3323	242	2563	2785	4156	2520	4947	1209	3274	329	2774	4424	4741	290	4056	1674	837	3768	2129	4166	3962	1123	2176	3138	1066	2881	1693	4409	4084	3549	1149	2407	3691	3611	2992	748	1131	840	1856	4304	1069	4529	1630	3610	2619	686	3084	3355	2255	3014	422	1217	4036	2498	2155	2902	3179	3748	213	164	2297	1261	2470	3788	2672	463	4435	3702	1202	1292	907	4970	3621	2436	1482	1241	923	4465	
2	1665	0	978	2479	2718	4894	4316	3016	2050	119	3995	798	3031	4059	895	2092	4329	4583	4663	2592	4018	1266	1595	3110	2073	1565	1732	2309	847	773	1032	3113	969	1909	3392	1487	1804	609	4402	1654	628	1299	2351	1459	358	1046	3451	4586	629	3114	2179	2448	4280	1574	3358	4153	939	2890	4262	1686	3562	295	4698	2332	4903	3090	3718	1707	1500	3121	1161	2027	2220	1312	3385	2477	2258	4636	4863	2786	2751	4842	3034	4831	1416	1393	1885	2255	4182	1147	3840	646	1341	1439	2877	4045	2329	1595	752	3728	
3	3350	978	0	1813	3555	4635	3024	4741	4912	3082	4377	4776	3669	4928	2519	1703	2660	3835	896	4444	3890	2879	592	631	3424	4632	1969	4101	3677	2098	3496	2230	3627	1013	1843	4982	3448	2667	2624	1262	750	2002	3838	4318	4730	1357	3821	2391	2992	4617	4635	1882	2496	227	2412	3720	2660	2181	2821	1337	2080	1317	1367	707	130	3109	3489	1379	3577	1114	2540	4226	916	4178	1445	646	535	266	837	3427	2683	473	3109	179	3399	522	1699	1059	503	4419	2296	2482	3537	1463	989	1467	4472	4378	2745	3049	
4	1713	2479	1813	0	3085	176	4107	2263	1520	4652	599	4485	3290	1826	2169	3662	4834	148	2061	3156	4547	3020	3559	1867	3116	3841	404	4478	2631	4571	1851	4809	217	2700	3101	3202	2775	2208	3265	2095	4660	1664	4381	2950	3389	4350	4412	1125	2298	1474	4180	1845	2294	640	3612	410	4381	1816	2688	2012	1387	2340	1821	1504	4939	2722	2506	616	4829	3571	511	2390	236	4791	341	1425	4141	2553	2449	4240	3926	1630	1085	4020	2169	4596	2230	4350	1413	4818	4162	600	2158	3783	4803	4897	1505	2309	513	4134	
5	4615	2718	3555	3085	0	3724	1525	3816	3515	4565	3041	558	2118	491	4697	3845	4820	782	2865	4789	3179	4995	4140	2392	2714	3302	792	2672	2086	596	2569	1391	2804	883	526	1485	4506	1950	3101	922	4315	1143	1379	1433	4333	3876	3078	4153	2459	944	3942	638	3739	983	830	1453	2086	1521	4024	1972	2016	4393	3262	2621	276	3687	1906	4681	3437	4907	604	2752	3850	4682	1986	1084	3559	4963	237	1018	3707	1979	4355	2446	2862	185	1699	2748	4405	723	4619	1422	117	2881	1843	3092	4369	3648	2774	2806	
6	4632	4894	4635	176	3724	0	1178	3359	306	860	3145	1289	2219	1009	4225	3136	4616	1205	392	4862	1867	476	1562	4514	4781	4984	4133	4003	101	4814	846	3093	4183	4393	3667	4790	850	4744	1050	3855	3404	4094	2945	624	103	4970	1560	2519	3975	1852	2382	842	128	1744	3156	2709	1728	190	4512	4529	2805	358	523	1988	2552	1990	4578	1202	4534	628	2857	2938	2522	3602	1362	426	3573	723	2844	2548	2474	3026	1191	402	4669	2147	912	4198	2237	424	1628	4941	682	2050	4729	1034	3939	4308	2135	3473	
7	1932	4316	3024	4107	1525	1178	0	2792	4211	3059	1395	574	3384	4867	1196	4028	316	1470	2055	1406	4571	4524	3453	483	1623	3490	807	3150	1332	4188	3000	1061	222	4739	3169	157	1113	3706	749	325	1765	2043	3598	2949	4710	2594	1977	2827	1864	1832	4132	1435	1357	486	1818	780	1776	425	3830	3007	4512	4630	1869	2534	4370	4937	491	483	1544	1139	3507	3208	983	2105	1157	3493	2499	935	1320	4262	2666	3253	3498	3922	1539	3116	2503	3215	3440	1333	4022	853	3763	891	1187	3133	3629	4377	3516	173	
8	2747	3016	4741	2263	3816	3359	2792	0	4823	1182	4198	1929	139	2692	2228	973	1812	1491	3539	4964	4888	362	1504	905	2764	4618	4244	1897	3640	2897	661	2332	3983	1594	961	1261	2910	3833	4476	2734	4914	1576	4562	4953	2068	1790	3726	3779	1081	166	3744	3769	428	248	4573	992	2666	1718	690	4106	4514	4050	1438	1398	644	199	2558	3454	3932	2035	1188	1747	3510	3550	4500	578	3140	3227	2157	4121	3292	901	791	1520	3848	365	313	4314	4782	902	3421	4297	4851	2659	695	495	659	1054	1749	2391	
9	4712	2050	4912	1520	3515	306	4211	4823	0	2836	4037	4298	1386	3538	2676	2327	4565	4732	1448	758	3434	4938	2178	2282	3103	2390	1597	2886	1092	2818	2183	3743	3277	678	4137	3835	4431	887	1226	320	1523	3064	4517	710	1602	4993	2936	1167	4726	2184	1824	3160	2122	1802	3242	226	1992	2639	3011	884	3257	2994	4526	1535	1472	3664	3170	904	2351	2197	1123	3773	261	3441	2283	4562	3434	219	3529	1061	2302	3153	2021	4324	2756	264	2350	4647	2802	361	532	1060	1155	2858	395	2526	1522	1365	3329	1673	
10	2655	119	3082	4652	4565	860	3059	1182	2836	0	4352	3247	1522	2793	530	1084	4027	649	2413	4988	751	567	2009	4974	3222	2172	2324	770	2775	485	4001	1635	1539	1860	4729	3965	1182	1094	195	656	4455	4446	3802	3777	140	2132	2662	4067	581	4974	1956	1232	3341	3864	1206	4363	3837	1331	134	4412	4515	1935	1047	1055	1595	776	2820	2677	1769	2914	1133	4024	262	4834	2802	3101	4766	464	4968	348	3238	1924	1479	1580	3589	485	943	2426	4515	3776	1838	4031	3512	685	2886	107	4160	706	584	929	
